AlphaPower,BetaPower,Label,Electrode,SubjectID
-9.50411898420685,-14.7857233348543,1,1,1
-10.2287219784479,-14.1561647067777,1,2,1
-9.30198940238476,-13.989856895053,1,3,1
-12.8811879840264,-16.8066867343411,1,1,2
-14.6045288913136,-19.9048722713966,1,2,2
-13.6416110544677,-19.1444766200285,1,3,2
-15.0786993813283,-19.2475975513971,1,1,3
-15.63104316918,-21.208144885029,1,2,3
-15.1345460415874,-21.4803444755117,1,3,3
-10.0619738585355,-16.4235437791695,1,1,4
-10.4883637778718,-15.7798027960689,1,2,4
-7.98770065600612,-14.9594523515319,1,3,4
-17.9287356727617,-20.57869360813,1,1,5
-17.6512173902022,-20.2968859788963,1,2,5
-17.4670486442829,-20.1958093875057,1,3,5
-11.1341970424465,-18.38942321475,1,1,6
-10.9241144504488,-17.7702421306249,1,2,6
-11.2509842620059,-17.7590245752257,1,3,6
-5.25809529706702,-10.0788002299719,1,1,7
-10.7895381096649,-17.7862741764359,1,2,7
-10.2268752693536,-17.3427165150139,1,3,7
-12.5368155256063,-17.8977276351643,0,1,8
-13.1065625853951,-17.7466879229371,0,2,8
-13.9647463879501,-19.7211440278475,0,3,8
-11.1267134526513,-11.9018723192605,0,1,9
-11.7706566043983,-13.4178943896358,0,2,9
-11.9786761186507,-14.2349613939881,0,3,9
-16.3573020396796,-21.4663405143074,0,1,10
-15.8387584179054,-22.5002882896241,0,2,10
-16.1474157581953,-22.6096433833235,0,3,10
-18.2573596318619,-20.9879260338424,0,1,11
-18.2557531452723,-20.8857709892581,0,2,11
-17.9795824675445,-20.2922115944153,0,3,11
-13.5394620367869,-14.8400070178817,0,1,12
-16.2339625126063,-16.5450789342799,0,2,12
-18.3489428911393,-19.1812455775149,0,3,12
-12.2242048855877,-17.8008778778756,0,1,13
-11.9684786496295,-17.1458540310265,0,2,13
-12.212252578423,-17.8466363119252,0,3,13
