Section,Measure,pValueOneSampleAmblyopia,pValueOneSampleControl,pValueNormalityAmblyopia,pValueNormalityControl,pValueVariance,pValueTest
EC,Mean,0.918221147203572,0.810339849716714,NaN,NaN,NaN,NaN
EC,Variance,0.00831783755130413,0.00747783610357447,0.812900832186467,0.985645610050096,0.0367052537864882,0.0733940278387031
EC,StandardDeviation,0.000790376879573014,0.000423250976438491,0.827625297513729,0.985407449497445,0.121330022703501,0.117272270565439
EC,Skewness,0.243519546925574,0.0988711363431232,NaN,NaN,NaN,NaN
EC,Kurtosis,3.9010590082332e-07,9.0345140722686e-05,0.87829340725803,0.982848559208059,0.0538252455984096,0.0377788559329632
EO,Mean,0.845235874639356,0.859107064928467,NaN,NaN,NaN,NaN
EO,Variance,0.0282960725987094,0.00193813223916825,0.208889023662756,0.956127592080263,0.00646032211526082,0.235888836841552
EO,StandardDeviation,0.00113527336950873,0.000106455908815817,0.302632261294844,0.918739362130486,0.0501051565567513,0.281835725184569
EO,Skewness,0.3396329583516,0.317230106388183,NaN,NaN,NaN,NaN
EO,Kurtosis,0.140503114507322,1.40671399334294e-05,NaN,NaN,NaN,NaN
DEC,Mean,0.0392938047971829,0.293321910459516,NaN,NaN,NaN,NaN
DEC,Variance,0.00524439141269724,0.0192571202891661,0.895428201829047,0.753468536812455,0.909504831296609,0.5760514170572
DEC,StandardDeviation,0.000157227448000816,0.000775621395245545,0.981483284356959,0.914112887893645,0.94100958901225,0.552093815375805
DEC,Skewness,0.943910620973279,0.735037921770886,NaN,NaN,NaN,NaN
DEC,Kurtosis,0.000125343765453235,8.40853880294791e-05,0.353789060342503,0.52333489014349,0.345285800280586,0.577992447468922
NDEC,Mean,0.0263929288139549,0.488089919918272,NaN,NaN,NaN,NaN
NDEC,Variance,0.00106750950224743,0.005322206689338,0.731244198206576,0.985887080719662,0.966602929802677,0.612485136752585
NDEC,StandardDeviation,2.58176434327137e-05,0.000301588299650032,0.869022295764084,0.954337226606907,0.795541587300774,0.584597903800964
NDEC,Skewness,0.937443926949752,0.0921138297971929,NaN,NaN,NaN,NaN
NDEC,Kurtosis,5.08486058038617e-05,7.10909963570303e-06,0.404008435491686,0.755926863341387,0.11718909061184,0.662922265188872
