Removed_ID,Classifier,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_ci_lower,precision_ci_upper,recall_mean,recall_ci_lower,recall_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,mcc_mean,mcc_perc_lower,mcc_perc_upper
A1,Random Forest,0.34615384615384615,-1.1199467003575494,1.8122543926652415,0.39285714285714285,-0.968521936046296,1.7542362217605816,0.5,-2.2227581578068776,3.2227581578068776,0.4369747899159664,-1.4849721450065354,2.358921724838468,-0.3442390450369002,-0.5374500474899403,-0.15102804258386013
A1,Gradient Boosting,0.46153846153846156,-1.493262267143399,2.416339190220322,0.5416666666666666,-2.1054593200900196,3.1887926534233526,0.3571428571428571,-0.5504431954594354,1.2647289097451497,0.42657342657342656,-1.0839544092261928,1.9371012623730461,-0.04903145301093956,-0.36435633455530886,0.26629342853342974
A1,Neural Network,0.2692307692307693,-1.196869777280626,1.7353313157421648,0.2976190476190476,-1.366288715485155,1.9615268107232504,0.2857142857142857,-1.5294578194902995,2.1008863909188706,0.2912087912087912,-1.454149002257156,2.036566584674738,-0.4642857142857143,-0.6791666666666667,-0.2494047619047619
A1,Logistic Regression,0.2692307692307693,-0.21946941293969585,0.7579309514012345,0.30952380952380953,0.006995125323045415,0.6120524937245737,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2967032967032967,0.15707467322602073,0.43633192018057265,-0.4642857142857143,-0.543452380952381,-0.3851190476190476
A1,Support Vector Machine,0.34615384615384615,-1.1199467003575494,1.8122543926652415,0.41666666666666663,-0.6421837280360082,1.4755170613693416,0.5,-0.4075860526022925,1.4075860526022925,0.45416666666666666,-0.5517412083008741,1.4600745416342074,-0.3574017035716105,-0.6042228150345298,-0.1105805921086912
A1,XGBoost,0.42307692307692313,-0.065623259093542,0.9117771052473882,0.4642857142857143,0.010492687984567872,0.9180787405868607,0.3571428571428571,-0.5504431954594354,1.2647289097451497,0.39610389610389607,-0.016435218715327604,0.8086430109231197,-0.14476484404130102,-0.23342871839254123,-0.05610096969006083
A3,Random Forest,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.5,0.5,0.5,0.5714285714285714,-1.2437435337760137,2.3866006766331562,0.5248868778280543,-0.2800310692762411,1.3298048249323497,-0.10614380694166209,-0.1391232806790982,-0.07316433320422595
A3,Gradient Boosting,0.46153846153846156,-1.493262267143399,2.416339190220322,0.5416666666666666,-2.1054593200900196,3.1887926534233526,0.3571428571428571,-0.5504431954594354,1.2647289097451497,0.42657342657342656,-1.0839544092261928,1.9371012623730461,-0.04903145301093956,-0.36435633455530886,0.26629342853342974
A3,Neural Network,0.3076923076923077,-0.6697080566486225,1.285092672033238,0.3571428571428571,-0.5504431954594354,1.2647289097451497,0.3571428571428571,-0.5504431954594354,1.2647289097451497,0.3571428571428571,-0.5504431954594354,1.2647289097451497,-0.3928571428571429,-0.5398809523809525,-0.24583333333333332
A3,Logistic Regression,0.2692307692307693,-0.21946941293969585,0.7579309514012345,0.30952380952380953,0.006995125323045415,0.6120524937245737,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2967032967032967,0.15707467322602073,0.43633192018057265,-0.4642857142857143,-0.543452380952381,-0.3851190476190476
A3,Support Vector Machine,0.34615384615384615,-1.1199467003575494,1.8122543926652415,0.41666666666666663,-0.6421837280360082,1.4755170613693416,0.5,-0.4075860526022925,1.4075860526022925,0.45416666666666666,-0.5517412083008741,1.4600745416342074,-0.3574017035716105,-0.6042228150345298,-0.1105805921086912
A3,XGBoost,0.42307692307692313,-0.065623259093542,0.9117771052473882,0.4642857142857143,0.010492687984567872,0.9180787405868607,0.3571428571428571,-0.5504431954594354,1.2647289097451497,0.39610389610389607,-0.016435218715327604,0.8086430109231197,-0.14476484404130102,-0.23342871839254123,-0.05610096969006083
